Region,Technology,Value
DE,SolarPV,150.0
FR,SolarPV,200.0
NO,SolarPV,25.0
DK,SolarPV,45.0
UK,SolarPV,90.0
DE,CoalMine,56.434688527777766
FR,CoalMine,30.670745210281755
NO,CoalMine,4.738766613710604
DK,CoalMine,6.662925472071824
UK,CoalMine,32.84273897385019
DE,GasExtractor,67.8234455409091
FR,GasExtractor,47.32822713638491
NO,GasExtractor,15.74567656795606
DK,GasExtractor,18.06462306581599
UK,GasExtractor,42.70721629457138
DE,CoalPowerPlant,0.0
FR,CoalPowerPlant,7.640008373333327
NO,CoalPowerPlant,2.0838927812982653
DK,CoalPowerPlant,0.0
UK,CoalPowerPlant,-0.0
DE,GasPowerPlant,0.0
FR,GasPowerPlant,20.819962956000325
NO,GasPowerPlant,6.619717067035066
DK,GasPowerPlant,0.0
UK,GasPowerPlant,0.0
DE,CoalCHPPlant,68.52997425000001
FR,CoalCHPPlant,23.030736836948428
NO,CoalCHPPlant,2.654873832412339
DK,CoalCHPPlant,6.662925472071824
UK,CoalCHPPlant,34.62786005050507
DE,GasCHPPlant,72.21907590151517
FR,GasCHPPlant,15.562596496384904
NO,GasCHPPlant,7.618459500920993
DK,GasCHPPlant,18.52186453535354
UK,GasCHPPlant,39.15213994949493
DE,Power2Gas,22.5
FR,Power2Gas,20.28649553047369
NO,Power2Gas,10.358117145485386
DK,Power2Gas,8.616292275339168
UK,Power2Gas,17.206908139986705
DE,H2Car,0.0
FR,H2Car,0.0
NO,H2Car,0.0
DK,H2Car,0.0
UK,H2Car,0.0
DE,BEV,0.0
FR,BEV,5.650118815717917
NO,BEV,0.0
DK,BEV,0.0
UK,BEV,0.0
DE,LPGCar,24.492
FR,LPGCar,20.41
NO,LPGCar,3.3676500000000003
DK,LPGCar,3.6738000000000004
UK,LPGCar,18.369
DE,WindOnshore,100.0
FR,WindOnshore,130.0
NO,WindOnshore,40.0
DK,WindOnshore,60.0
UK,WindOnshore,140.0
DE,ElectricHeater,29.058569909090906
FR,ElectricHeater,11.592442102169057
NO,ElectricHeater,1.1360000000000001
DK,ElectricHeater,14.712
UK,ElectricHeater,28.967955195487257
